No.,English,IPA(美式),近似?,出现页,出现次数
1470,electric shock,/ɪlˈɛktrɪk ʃˈɑk/,,48,1
1471,electric train,/ɪlˈɛktrɪk trˈeɪn/,,210,1
1472,electrical goods,/ɪlˈɛktrɪkəl gˈʊdz/,,107,2
1473,electrician,/ɪlɛktrˈɪʃən/,,190,1
1474,electricity,/ɪlˌɛktrˈɪsəti/,,62,1
1475,electricity meter,/ɪlˌɛktrˈɪsəti mˈitɚ/,,62,1
1476,elephant,/ˈelifənt/,,293,1
1477,eleven,/iˈlevn/,,310,1
1478,eleventh,/iˈlevnθ/,,311,1
1479,elm,/ˈɛlm/,,298,1
1480,email,/ˈiːˈmeɪl/,,179,1
1481,email account,/imˈeɪl əkˈaʊnt/,,179,1
1482,email address,/imˈeɪl ˈædrˌɛs/,,179,1
1483,embarrassed,/imˈbærəst/,,27,1
1484,embossed paper,/ɪmbˈɔst pˈeɪpɚ/,,85,1
1485,embroidery,/ɛmbrˈɔɪdɚi/,,279,1
1486,emerald,/ˈɛmrəld/,,290,1
1487,emergency,/iˈməːdʒənsi/,,48,1
1488,Emergency exit,/ɪmɝdʒənsi ˈɛgzɪt/,,212,2
1489,emergency lever,/ɪmɝdʒənsi lˈɛvɚ/,,211,1
1490,emergency phone,/ɪmɝdʒənsi foʊn/,,197,1
1491,emergency room,/ɪmɝdʒənsi rˈum/,,50,1
1492,emergency services,/ɪmɝdʒənsi sɝvəsəz/,,96,1
1493,emotions,/iˈmoʊʃən/,,27,1
1494,employee,/ɛmplˈɔɪi/,,26,1
1495,employer,/ɛmplˈɔɪɚ/,,26,1
1496,empty,/ˈempti/,,323,1
1497,emulsion,/ɪmˈʌlʃən/,,85,1
1498,enamel,/ɪnˈæməl/,,52,1
1499,encore,/ˈɑnkˌɔr/,,257,1
1500,encyclopedia,/ɪnsˌaɪkləpˈidiə/,,165,1
1501,end,/end/,,323,1
1502,end zone,/ˈɛnd zoʊn/,,222,1
1503,endive,/ˈɛndɪv/,,125,1
1504,endline,/ɛndlɪn/,是,228,1
1505,endocrine,/ˈɛndoʊkrˌaɪn/,,21,1
1506,endocrinology,/ˌɛndoʊkrənˈɑlədʒi/,,51,1
1507,engine,/ˈendʒin/,,204,4
1508,engine room,/ˈɛndʒən rˈum/,,216,1
1509,engineering,/ˈɛndʒənˈɪrɪŋ/,,171,1
1510,english,/ˈiŋgliʃ/,,14,284
1511,English breakfast,/ˈɪŋglɪʃ brˈɛkfəst/,,159,1
1512,English mustard,/ˈɪŋglɪʃ mˈʌstɚd/,,137,1
1513,enlarge,/ˌɛnlˈɑrdʒ/,,174,1
1514,enlargement,/ɪnlˈɑrdʒmənt/,,273,1
1515,enquiries library card,/ˈlaɪbrəri/,,170,1
1516,ENT,/ˈɛnt/,,51,1
1517,Entrance,/ˈentrəns/,,61,2
1518,entrance fee,/ˈɛntrəns fˈi/,,262,1
1519,envelope,/ˈenvəloʊp/,,100,2
1520,ENVIRONMENT,/inˈvaɪrənmənt/,,281,23
1521,epidural,/ˌɛpədɝəl/,,54,1
1522,epiglottis,/ɛpɪɡlɑttɪs/,是,21,1
1523,epilepsy,/ˈepilepsi/,,46,1
1524,episiotomy,/ɛpɪsɪɑtɑmaɪ/,是,54,1
1525,equals,/ˈiːkwəl/,,167,1
1526,equation,/iˈkweɪʃən/,,167,1
1527,equator,/iˈkweɪtə/,,285,1
1528,Equatorial Guinea,/ˌikwətˈɔriəl gˈɪni/,,319,1
1529,equipment,/iˈkwipmənt/,,167,3
1530,equity,/ˈekwiti/,,99,1
1531,Eritrea,/ˌɛrɪtrˈiə/,,319,1
1532,erupt,/ɪrˈʌpt/,,285,1
1533,escalator,/ˈeskəleɪtə/,,106,1
1534,espresso,/eˈspresoʊ/,,150,1
1535,essay,/ˈeseɪ/,,165,1
1536,essential oils,/ɛsˈɛnʃəl ˈɔɪlz/,,57,1
1537,essential phrases,/ɛsˈɛnʃəl frˈeɪzəz/,,324,1
1538,estate,/iˈsteɪt/,,201,1
1539,estate agent,/ɪstˈeɪt ˈeɪdʒənt/,,191,1
1540,estate agent’s,/iˈsteɪt/,,117,1
1541,Estonia,/ɛstoʊniə/,,318,1
1542,estuary,/ˈɛstʃuˌɛri/,,287,1
1543,Ethiopia Ghana,/ˌiθioʊpiə gˈænə/,,319,1
1544,eucalyptus,/jˌukəlˈɪptəs/,,298,1
1545,Europe,/ˈjuərəp/,,318,1
1546,evening dress,/ˈivnɪŋ drˈɛs/,,36,1
1547,evening menu,/ˈivnɪŋ mˈɛnju/,,154,1
1548,events,/iˈvent/,,245,2
1549,evergreen,/ˈɛvɚgrˌin/,,88,1
1550,every,/ˈevri/,,322,1
1551,evidence,/ˈevidəns/,,183,1
1552,exactly,/ɪgzˈæktli/,,322,1
1553,examination,/ig/,,47,1
1554,examination dictionary,/ɪgzˌæmənˈeɪʃən dˈɪkʃənˌɛri/,,165,1
1555,excess baggage,/ˈɛksˌɛs bˈægədʒ/,,214,1
1556,exchange rate,/ɪkstʃˈeɪndʒ rˈeɪt/,,99,1
1557,excited,/ikˈsaɪtid/,,27,1
1558,Excuse me,/ɪkskjˈus mˈi/,,324,1
1559,executive,/igˈzekjutiv/,,176,1
1560,exercise bike,/ˈɛksɚsˌaɪz bˈaɪk/,,252,1
1561,exercises,/ˈeksəsaɪz/,,253,1
1562,exfoliate,/ɛksfoʊlieɪt/,,43,1
1563,exhaust pipe,/ɪgzˈɔst pˈaɪp/,,205,2
1564,exhibit,/ɪgzˈɪbɪt/,,263,1
1565,exhibition,/ˌɛksəbˈɪʃən/,,263,1
1566,exit,/ˈeksit/,,212,1
1567,exit ramp,/ˈɛgzɪt rˈæmp/,,196,1
1568,exosphere,/ɛksɑsfɛrr/,是,288,1
1569,expectant trimester,/ɪkspˈɛktənt traɪmˈɛstɚ/,,54,1
1570,expensive,/ikˈspensiv/,,323,1
1571,expiry date,/ˌɛkspˈaɪri dˈeɪt/,,111,1
1572,exposure,/ikˈspoʊʒə/,,273,1
1573,extend,/ikˈstend/,,253,1
1574,extension lead,/ɪkstˈɛnʃən lˈɛd/,,80,1
1575,extension path,/ɪkstˈɛnʃən pˈæθ/,,60,1
1576,exterior,/ikˈstiəriə/,,200,1
1577,extra time,/ˈɛkstrə tˈaɪm/,,225,1
1578,extraction,/ikˈstrækʃən/,,52,1
1579,extractor,/ɛkstræktɔrr/,是,68,1
1580,eye,/aɪ/,,16,4
1581,eyebrow,/ˈaɪbraʊ/,,16,2
1582,eyebrow brush,/ˈaɪbrˌaʊ brˈʌʃ/,,42,1
1583,eyebrow pencil,/ˈaɪbrˌaʊ pˈɛnsəl/,,42,1
1584,eyecup,/eɪɛkʌp/,是,271,1
1585,eyelash,/ˈaɪlˌæʃ/,,16,2
1586,eyelet,/ˈaɪlət/,,39,1
1587,eyelid,/ˈaɪlˌɪd/,,53,1
1588,eyeliner,/ˈaɪlˌaɪnɚ/,,42,1
1589,eyepiece,/ˈaɪpˌis/,,169,1
1590,fabric,/ˈfæbrik/,,279,1
1591,fabric conditioner,/fˈæbrɪk kəndˈɪʃənɚ/,,78,1
1592,face,/feɪs/,,16,1
1593,face cream,/fˈeɪs krˈim/,,75,1
1594,face mask,/fˈeɪs mˈæsk/,,227,1
1595,face pack,/fˈeɪs pˈæk/,,43,1
1596,face powder,/fˈeɪs pˈaʊdɚ/,,42,1
1597,face-off circle,/ˈsəːkl/,,226,1
1598,facial,/ˈfeɪʃəl/,,43,1
1599,factory,/ˈfæktəri/,,301,1
1600,faint,/feɪnt/,,27,2
1601,fair,/fɛr/,,43,1
1602,fairground,/fˈɛrgrˌaʊnd/,,264,1
1603,fairway,/fˈɛrwˌeɪ/,,234,1
1604,falcon,/fˈælkən/,,294,1
1605,Falkland Islands,/fˈɔklənd ˈaɪləndz/,,317,1
1606,fall in love,/fˈɔl ɪn lˈʌv/,,28,1
1607,Fallopian tube,/fəloʊpiən tˈub/,,22,1
1608,family,/ˈfæməli/,,24,1
1609,famous ruin painting,/fˈeɪməs rˈuən pˈeɪntɪŋ/,,263,1
1610,fan,/fæn/,,62,2
1611,fan belt,/fˈæn bˈɛlt/,,205,1
1612,far,/fɑː/,,322,1
1613,fare,/fɛr/,,199,2
1614,farm,/fɑːm/,,184,2
1615,farmer,/ˈfɑːmə/,,184,2
1616,farmhouse,/fˈɑrmhˌaʊs/,,184,1
1617,farmland,/ˈfɑːmlænd/,,184,1
1618,farmyard,/fˈɑrmjˌɑrd/,,184,1
1619,fashion,/ˈfæʃən/,,279,1
1620,fast,/fɑːst/,,323,1
1621,fast food,/fˈæst fˈud/,,156,1
1622,fastening,/fˈæsənɪŋ/,,39,1
1623,fat,/fæt/,,121,2
1624,fat free,/fˈæt frˈi/,,139,1
1625,father,/ˈfɑːðə/,,24,1
1626,father-in-law,/ˈfɑːðərinlɔ/,,25,1
1627,fault,/fˈɔlt/,,232,1
1628,fax,/fæks/,,100,2
1629,feather,/ˈfeðə/,,295,1
1630,feature,/ˈfiːtʃə/,,271,1
1631,February,/ˈfebruəri/,,308,1
1632,feed,/fiːd/,,185,1
1633,feijoa,/feɪdʒoʊ/,是,130,1
1634,female,/ˈfiːmeɪl/,,14,2
1635,feminine,/fˈɛmənən/,,110,1
1636,femur,/fˈimɚ/,,19,1
1637,fence,/fens/,,87,3
1638,fencing,/ˈfensiŋ/,,251,1
1639,feng shui,/fˈɛŋ ʃˈui/,,57,1
1640,fennel,/fˈɛnəl/,,124,2
1641,fennel seeds,/fˈɛnəl sˈidz/,,135,1
1642,fenugreek,/fˈɛnugrˌik/,,134,1
1643,fern,/fɝn/,,88,1
1644,ferry,/ˈferi/,,217,2
1645,ferry terminal,/fˈɛri tɝmənəl/,,218,1
1646,fertile,/ˈfəːtaɪl/,,22,1
1647,fertilize,/fɝtəlˌaɪz/,,93,1
1648,fertilizer,/ˈfəːtilaɪzə/,,93,1
1649,festivals,/ˈfestəvəlz/,,29,1
1650,fibula,/fˈɪbjələ/,,19,1
1651,field,/fiːld/,,184,4
1652,field hockey,/fˈild hˈɑki/,,226,1
1653,fifteen,/fɪftˈin/,,310,1
1654,fifty,/fˈɪfti/,,310,1
1655,fifty thousand,/fˈɪfti θˈaʊzənd/,,311,1
1656,fifty-five thousand five hundred,/ˈθaʊznd/,,311,1
1657,fig,/fig/,,131,1
1658,fighter plane,/fˈaɪtɚ plˈeɪn/,,213,1
1659,figure skating,/fˈɪgjɚ skˈeɪtɪŋ/,,249,1
1660,Fiji,/fiːˈdʒiː,ˈfiːdʒiː/,,321,1
1661,filament,/fˈɪləmənt/,,62,1
1662,file,/faɪl/,,83,3
1663,filing cabinet,/fˈaɪlɪŋ kˈæbənət/,,174,1
1664,Fill the,/fˈɪl ðə/,,201,1
1665,filler,/fˈɪlɚ/,,85,1
1666,fillet,/ˈfilit/,,121,1
1667,filling,/ˈfiliŋ/,,142,2
1668,film,/film/,,273,1
1669,film set,/fˈɪlm sˈɛt/,,181,1
1670,film spool,/fˈɪlm spˈul/,,273,1
1671,filo pastry,/fˈiloʊ pˈeɪstri/,,142,1
1672,filter,/ˈfiltə/,,272,1
1673,filter coffee,/fˈɪltɚ kˈɑfi/,,150,1
1674,filter paper,/fˈɪltɚ pˈeɪpɚ/,,169,1
1675,fin,/fin/,,212,1
1676,finance,/faɪˈnæns/,,99,1
1677,financial advisor,/fənˈænʃəl ædvˈaɪzɚ/,,99,1
1678,finial,/fɪnɪɔll/,是,302,1
1679,finishing line,/fˈɪnɪʃɪŋ lˈaɪn/,,236,1
1680,Finland,/ˈfinlənd/,,318,1
1681,fire alarm,/fˈaɪɚ əlˈɑrm/,,97,1
1682,fire brigade,/fˈaɪɚ brəgˈeɪd/,,97,1
1683,fire engine,/fˈaɪɚ ˈɛndʒən/,,97,1
1684,fire escape,/fˈaɪɚ ɪskˈeɪp/,,97,1
1685,fire extinguisher,/fˈaɪɚ ɪkstˈɪŋgwɪʃɚ/,,97,1
1686,fire fighters,/fˈaɪɚ fˈaɪtɚz/,,97,1
1687,fire station,/fˈaɪɚ stˈeɪʃən/,,97,1
1688,fireman,/ˈfaɪrmən/,,191,1
1689,fireplace,/ˈfaɪrpleɪs/,,65,1
1690,first,/fəːst/,,311,2
1691,first aid,/fɝst ˈeɪd/,,49,1
1692,first floor,/fɝst flˈɔr/,,106,1
1693,fish,/fiʃ/,,109,3
1694,fish and chips,/fˈɪʃ ənd tʃˈɪps/,,157,1
1695,fish farm,/fˈɪʃ fˈɑrm/,,185,1
1696,fish slice,/fˈɪʃ slˈaɪs/,,70,1
1697,fisherman,/fˈɪʃɚmˌæn/,,191,1
1698,fishhook,/fɪʃhuk/,是,246,1
1699,fishing,/ˈfiʃiŋ/,,246,1
1700,fishing boat,/fˈɪʃɪŋ boʊt/,,219,1
1701,fishing rod,/fˈɪʃɪŋ rˈɑd/,,246,1
1702,fishmonger,/fˈɪʃmˌɑŋgɚ/,,190,1
1703,fishmonger’s,/fˈɪʃmˌɑŋgɚ ˈɛs/,,116,2
1704,fist,/fist/,,17,1
1705,fitness,/ˈfitnis/,,252,1
1706,five,/faɪv/,,310,1
1707,five hundred,/fˈaɪv hˈʌndrəd/,,310,1
1708,five past one,/fˈaɪv pˈæst wˈʌn/,,306,1
1709,five to two,/fˈaɪv tˈu tˈu/,,306,1
1710,flag,/flæg/,,223,2
1711,flageolet beans,/flˌædʒəlˈɛt bˈinz/,,133,1
1712,flakes,/flˈeɪks/,,134,1
1713,flamingo,/fləˈmiŋgoʊ/,,294,1
1714,flan,/flˈæn/,,144,1
1715,flan tin,/flˈæn tˈɪn/,,71,1
1716,flare,/flˈɛr/,,242,1
1717,flash,/flæʃ/,,272,1
1718,flash gun,/flˈæʃ gˈʌn/,,272,1
1719,flask,/flæsk/,,168,1
1720,flat,/flæt/,,61,1
1721,flat wood bit,/flˈæt wˈʊd bˈɪt/,,82,1
1722,flatbread,/flætbrid/,是,141,1
1723,flavoured oil,/ɑil/,,136,1
1724,flax,/flˈæks/,,186,1
1725,fleece,/flˈis/,,76,1
1726,flesh,/ˈfleʃ/,,129,2
1727,flight attendant,/flˈaɪt ətˈɛndənt/,,212,1
1728,flint,/flˈɪnt/,,290,1
1729,flip-flop,/flˈɪp flˈɑp/,,39,1
1730,flipchart,/flɪptʃɑrrt/,是,176,1
1731,flipper,/flˈɪpɚ/,,241,2
1732,float,/floʊt/,,246,1
1733,float ball,/floʊt bˈɔl/,,63,1
1734,flock crop,/flˈɑk krˈɑp/,,185,1
1735,floor,/flɑː/,,64,2
1736,floor exercises,/flˈɔr ˈɛksɚsˌaɪzəz/,,237,1
1737,floor plan,/flˈɔr plˈæn/,,263,1
1738,florentine,/flˈɔrəntˌin/,,143,1
1739,florist,/flˈɑrɪst/,,112,2
1740,floss,/flɑs/,,52,1
1741,flower,/ˈflaʊr/,,299,1
1742,flowerbed,/floʊɛrrbɛd/,是,87,2
1743,flowering plant,/flˈaʊɚɪŋ plˈænt/,,299,1
1744,flowering shrub,/flˈaʊɚɪŋ ʃrˈʌb/,,89,1
1745,flowers,/ˈflaʊr/,,112,1
1746,flu,/fluː/,,46,1
1747,flute,/fluːt/,,259,1
1748,fly,/flaɪ/,,246,2
1749,fly fishing,/flˈaɪ fˈɪʃɪŋ/,,247,1
1750,flyover,/ˈflaɪrjvə(r)/,,196,1
1751,flysheet,/flɪʃit/,是,268,1
1752,foal,/foʊl/,,187,1
1753,focus,/ˈfoʊkəs/,,273,1
1754,focusing knob,/foʊkəsɪŋ nˈɑb/,,169,1
1755,foil,/fɑil/,,251,1
1756,folder,/ˈfoʊldə/,,179,1
1757,foliage,/foʊlɪdʒ/,,112,1
1758,follicle,/fˈɑləkəl/,,22,1
1759,font,/fˈɑnt/,,179,1
1760,FOOD,/fuːd/,,119,30
1761,food hall,/fˈud hˈɔl/,,107,1
1762,food processor,/fˈud prˈɑsˌɛsɚ/,,68,1
1763,foot,/fut/,,14,3
1764,football,/ˈfutbɑːl/,,222,2
1765,football field,/fˈʊtbˌɔl fˈild/,,222,1
1766,football pitch,/fˈʊtbˌɔl pˈɪtʃ/,,224,1
1767,football player,/fˈʊtbˌɔl plˈeɪɚ/,,222,1
1768,football strip,/fˈʊtbˌɔl strˈɪp/,,33,2
1769,footballer,/futbɔlllɛrr/,是,224,1
1770,footboard,/futboʊrd/,是,73,1
1771,footpath,/fˈʊtpˌæθ/,,264,1
1772,footstrap,/futstræp/,是,243,1
1773,for,/fɑː/,,322,1
1774,forceps,/fˈɔrsɛps/,,55,1
1775,forearm,/ˈfɑːrɑːm/,,14,1
1776,forehand,/fˈɔrhˌænd/,,233,1
1777,forehead,/ˈfɑːrid/,,16,1
1778,foreskin,/foʊrskˌɪn/,,23,1
1779,fork,/fɑːk/,,67,4
1780,fork-lift truck,/fˈɔrklˈɪft trˈʌk/,,188,2
1781,formal gardens,/fˈɔrməl gˈɑrdənz/,,264,1
1782,fortieth,/fˈɔrtiɪθ/,,311,1
1783,fortnight,/fˈɔrtnˌaɪt/,,309,1
1784,forty,/fˈɔrti/,,310,1
1785,forty minutes,/fˈɔrti mˈɪnəts/,,306,1
1786,forward,/ˈfɑːwəd/,,224,1
1787,foul,/faʊl/,,225,2
1788,foul ball,/fˈaʊl bˈɔl/,,230,1
1789,foul line,/fˈaʊl lˈaɪn/,,231,1
1790,foundation,/faʊnˈdeɪʃən/,,42,1
1791,four,/fɑː/,,310,1
1792,four hundred,/fˈɔr hˈʌndrəd/,,310,1
1793,four-door,/fˈɔr dˈɔr/,,202,1
1794,four-wheel drive,/draɪv/,,201,1
1795,fourteen,/fˈɔrtˈin/,,310,1
1796,fourteenth,/fˈɔrtˈinθ/,,311,1
1797,fourth,/fɑːθ/,,311,1
1798,fox,/fɑks/,,292,1
1799,foxglove,/fˈɑksglˌəv/,,299,1
1800,fraction,/ˈfrækʃən/,,167,1
1801,fracture,/ˈfræktʃə/,,48,1
1802,fragile,/frˈædʒəl/,,100,1
1803,fragranced,/fræɡrænsɛd/,是,132,1
1804,frame,/freɪm/,,53,4
1805,frame counter,/frˈeɪm kˈaʊntɚ/,,272,1
1806,France,/frɑːns/,,318,1
1807,freckle,/frˈɛkəl/,,17,1
1808,free,/friː/,,323,1
1809,Free admission,/frˈi ædmˈɪʃən/,,324,1
1810,free range,/frˈi rˈeɪndʒ/,,120,1
1811,free weights,/frˈi wˈeɪts/,,252,1
1812,free-throw line,/laɪn/,,228,1
1813,freesia,/frisɪæ/,是,112,1
1814,freeze,/friːz/,,69,1
1815,freezer,/frˈizɚ/,,69,1
1816,freight train,/frˈeɪt trˈeɪn/,,210,1
1817,freighter,/frˈeɪtɚ/,,217,1
1818,French bean,/frˈɛntʃ bˈin/,,124,1
1819,french fries,/frˈɛntʃ frˈaɪz/,,156,1
1820,French horn,/frˈɛntʃ hˈɔrn/,,259,1
1821,French mustard,/frˈɛntʃ mˈʌstɚd/,,137,1
1822,french pleat,/frˈɛntʃ plˈit/,,41,1
1823,french toast,/frˈɛntʃ toʊst/,,159,1
1824,frequency,/ˈfriːkwənsi/,,181,1
1825,fresh,/freʃ/,,123,3
1826,fresh fruit,/frˈɛʃ frˈut/,,159,1
1827,freshwater fishing,/frˈɛʃwˌɔtɚ fˈɪʃɪŋ/,,247,1
1828,fret,/frˈɛt/,,260,1
1829,fretsaw,/frɛtsɔ/,是,83,1
1830,fried chicken,/frˈaɪd tʃˈɪkən/,,157,1
1831,fried egg,/frˈaɪd ˈɛg/,,159,1
1832,friend,/frend/,,26,1
1833,frieze,/frˈiz/,,303,1
1834,frog,/frɑg/,,296,1
1835,from,/frɑm/,,322,1
1836,front door,/frˈʌnt dˈɔr/,,60,1
1837,front wheel,/frˈʌnt wˈil/,,198,1
1838,frontal,/frˈʌntəl/,,18,1
1839,froth,/frɑθ/,,150,1
1840,frown,/frˈaʊn/,,27,1
1841,frozen,/ˈfroʊzn/,,126,1
1842,frozen food,/froʊzən fˈud/,,109,1
1843,frozen yoghurt unsalted buttermilk,/ˈfroʊzn/,,139,1
1844,fruit,/fruːt/,,109,3
1845,fruit bread,/frˈut brˈɛd/,,141,1
1846,fruit cake,/frˈut kˈeɪk/,,142,1
1847,fruit farm,/frˈut fˈɑrm/,,185,1
1848,fruit gum,/frˈut gˈʌm/,,115,1
1849,fruit juice,/frˈut dʒˈus/,,158,1
1850,fruit tart,/frˈut tˈɑrt/,,142,1
1851,fruit yoghurt,/fruːt/,,159,1
1852,fry,/fraɪ/,,69,1
1853,frying pan,/frˈaɪɪŋ pˈæn/,,71,1
1854,fuel gauge,/fjˈuəl gˈeɪdʒ/,,203,1
1855,fuel tank,/fjˈuəl tˈæŋk/,,206,1
1856,full,/ful/,,66,3
1857,full board,/fˈʊl bˈɔrd/,,103,1
1858,full moon,/fˈʊl mˈun/,,282,1
1859,fumble,/fˈʌmbəl/,,222,1
1860,funeral,/ˈfjuːnərəl/,,28,1
1861,funnel,/ˈfʌnl/,,168,1
1862,funnel quarterdeck,/fˈʌnəl kwˈɔrtɚdˌɛk/,,216,1
1863,furniture shop,/fɝnɪtʃɚ ʃˈɑp/,,117,1
1864,furrow,/fɝoʊ/,,185,1
1865,fuse,/fjˈuz/,,62,1
1866,fuse box,/fjˈuz bˈɑks/,,62,2
1867,fuselage,/ˈfjuːzilɑːdʒ/,,212,1
1868,gable,/gˈeɪbəl/,,302,1
1869,Gabon,/gəbˈɑn/,,319,1
1870,Galapagos Islands,/gəlˈɑpəgoʊz ˈaɪləndz/,,317,1
1871,galaxy,/ˈgæləksi/,,282,1
1872,gale,/geɪl/,,288,1
1873,galley,/gˈæli/,,216,1
1874,gallon,/gˈælən/,,313,1
1875,gallop,/gˈæləp/,,245,1
1876,galvanised,/ɡɔllvænɪsɛd/,是,81,1
1877,Gambia,/gˈæmbiə/,,319,1
1878,game,/geɪm/,,121,3
1879,game show,/gˈeɪm ʃoʊ/,,180,1
1880,games,/geɪm/,,274,1
1881,gangling,/gˈæŋgəl/,,253,1
1882,gangway,/ɡæŋweɪ/,是,216,1
1883,garage,/gɚˈɑʒ/,,60,2
1884,garden,/ˈgɑːdn/,,86,2
1885,garden centre,/gˈɑrdən sˈɛntɚ/,,117,1
1886,garden features,/gˈɑrdən fˈitʃɚz/,,86,1
1887,garden pea,/gˈɑrdən pˈi/,,124,1
1888,garden plants,/gˈɑrdən plˈænts/,,88,1
1889,garden styles,/gˈɑrdən stˈaɪlz/,,86,1
1890,garden tools,/gˈɑrdən tˈulz/,,90,1
1891,gardener,/ˈgɑːdənə/,,190,1
1892,gardening,/ˈgɑːdniŋ/,,92,1
1893,gardening gloves,/gˈɑrdənɪŋ glˈʌvz/,,91,1
1894,gardens,/ˈgɑːdn/,,263,1
1895,garland,/gˈɑrlənd/,,113,1
1896,garlic,/ˈgɑːlik/,,127,2
1897,garlic press,/gˈɑrlɪk prˈɛs/,,70,1
1898,garnet,/gˈɑrnət/,,290,1
1899,garter,/gˈɑrtɚ/,,37,1
1900,gas burner,/gˈæs bɝnɚ/,,63,1
1901,gasket,/gˈæskət/,,63,1
1902,gate,/geɪt/,,87,3
1903,gate number,/gˈeɪt nˈʌmbɚ/,,215,1
1904,gauze,/gɑːz/,,49,1
1905,gear lever,/gˈɪr lˈɛvɚ/,,209,1
1906,gearbox,/gˈɪrbˌɑks/,,204,2
1907,gears,/giə/,,208,1
1908,gearstick,/dʒirstɪk/,是,203,1
1909,gel,/dʒel/,,40,2
1910,gems,/dʒem/,,290,1
1911,generation,/dʒˌɛnɚˈeɪʃən/,,25,1
1912,generator,/dʒˈɛnɚˌeɪtɚ/,,62,1
1913,genitals,/ˈdʒenit(ə)lz/,,14,1
1914,geography,/dʒiˈɑgrəfi/,,164,1
1915,Georgia,/ˈdʒɑːdʒjə/,,320,1
1916,gerbera,/dʒɛrrbɛrræ/,是,112,1
1917,Germany,/ˈdʒəːməni/,,318,1
1918,get a job,/gˈɛt ə dʒˈɑb/,,28,1
1919,get married,/gˈɛt mˈɛrid/,,28,1
1920,get up,/gˈɛt ˈʌp/,,73,1
1921,geyser,/ˈgaɪzə/,,287,1
1922,giant slalom,/dʒˈaɪənt slˈɑləm/,,249,1
1923,gift shop,/gˈɪft ʃˈɑp/,,116,1
1924,gill,/gˈɪl/,,296,1
1925,gin and tonic,/dʒˈɪn ənd tˈɑnɪk/,,153,1
1926,ginger,/ˈdʒindʒə/,,41,3
1927,giraffe,/dʒɚˈæf/,,293,1
1928,girder,/gɝdɚ/,,188,1
1929,girl,/gəːl/,,25,1
1930,girlfriend,/gɝlfrˌɛnd/,,26,1
1931,girth,/gɝθ/,,244,1
1932,glacier,/ˈgleɪʃə/,,286,1
1933,gladiolus,/glˌædioʊləs/,,112,1
1934,gland,/glænd/,,21,1
1935,glass,/glɑːs/,,71,2
1936,glass bottle,/glˈæs bˈɑtəl/,,168,1
1937,glass rod,/glˈæs rˈɑd/,,169,1
1938,glasses,/ˈglɑːsiz/,,53,2
1939,glassware,/glˈæswˌɛr/,,67,1
1940,glaze,/glˈeɪz/,,141,1
1941,glider,/glˈaɪdɚ/,,213,2
1942,gliding,/glˈaɪdɪŋ/,,250,1
1943,gloss,/glˈɔs/,,85,2
1944,glove,/glˈʌv/,,226,4
1945,gloves,/glˈʌvz/,,38,1
1946,glue,/gluː/,,277,1
1947,glue gun,/glˈu gˈʌn/,,80,1
1948,go to bed,/goʊ tˈu bˈɛd/,,73,1
1949,go to sleep,/goʊ tˈu slˈip/,,73,1
1950,goal,/goʊl/,,223,2
1951,goal line,/goʊl lˈaɪn/,,222,3
1952,goalkeeper,/ˈgoʊlkiːpə/,,224,2
1953,goalpost net,/goʊlpoʊst nˈɛt/,,224,1
1954,goalpost sideline,/goʊlpoʊst sˈaɪdlˌaɪn/,,222,1
1955,goat,/goʊt/,,187,1
1956,goat’s cheese,/tʃiːz/,,144,1
1957,goat’s milk,/milk/,,138,1
1958,goggles,/gˈɑgəlz/,,249,1
1959,going out,/goʊɪŋ ˈaʊt/,,77,1
1960,gold,/goʊld/,,237,2
1961,goldfish,/ˈgoʊldfiʃ/,,296,1
1962,golf,/gɑlf/,,234,1
1963,golf bag,/gˈɑlf bˈæg/,,235,1
1964,golf ball,/gˈɑlf bˈɔl/,,235,1
1965,golf clubs,/gˈɑlf klˈʌbz/,,235,1
1966,golf course,/gˈɑlf kˈɔrs/,,234,1
1967,golf shoe,/gˈɑlf ʃˈu/,,235,1
1968,golf trolley,/gˈɑlf trˈɑli/,,235,1
1969,gong,/gˈɔŋ/,,259,1
1970,good,/gud/,,323,1
1971,Good afternoon,/gˈʊd ˌæftɚnˈun/,,324,1
1972,Good evening,/gˈʊd ˈivnɪŋ/,,324,1
1973,Good morning,/gˈʊd mˈɔrnɪŋ/,,324,1
1974,Good night,/gˈʊd nˈaɪt/,,324,1
1975,Goodbye,/gudˈbaɪ/,,324,1
1976,goose egg,/gˈus ˈɛg/,,139,1
1977,gooseberry,/ˈguːsbəri/,,129,1
1978,gorge,/gɑːdʒ/,,286,1
1979,gorilla,/gəˈrilə/,,293,1
1980,grade,/greɪd/,,165,1
1981,graduate,/ˈgrædʒueɪt/,,28,2
1982,graft,/grˈæft/,,93,1
1983,grains,/reɪnz/,,132,1
1984,grains and pulses,/grˈeɪnz ənd pˈʌlsɪz/,,132,1
1985,gram,/græm/,,312,1
1986,granary bread,/bred/,,141,1
1987,grandchildren,/grˈæntʃˌɪldrən/,,25,1
1988,granddaughter,/grˈændˌɔtɚ/,,24,1
1989,grandfather,/ˈgrændfɑːðə/,,24,1
1990,grandmother,/ˈgrændmʌðə/,,24,1
1991,grandparents,/ˈgrændperənt/,,25,1
1992,grandson,/grˈændsˌən/,,24,1
1993,granite,/grˈænət/,,290,1
1994,grape juice,/grˈeɪp dʒˈus/,,146,1
