No.,English,中文,拼音,中文+拼音
1231,MDF,层压板,céngyābǎn,层压板 céngyābǎn
1232,softwood,软木,ruǎnmù,软木 ruǎnmù
1233,solder,焊锡,hànxī,焊锡 hànxī
1234,varnish,清漆,qīngqī,清漆 qīngqī
1235,hammer (v),钉,dìng,钉 dìng
1236,saw (v),锯,jù,锯 jù
1237,galvanised,电镀,diàndù,电镀 diàndù
1238,cable,电缆,diànlǎn,电缆 diànlǎn
1239,plywood,胶合板,jiāohébǎn,胶合板 jiāohébǎn
1240,drill (v),钻孔,zuànkǒng,钻孔 zuànkǒng
1241,wire,金属线,jīnshǔxiàn,金属线 jīnshǔxiàn
1242,hardwood,硬木,yìngmù,硬木 yìngmù
1243,woodstain,木材染色剂,mùcái rǎnsèjì,木材染色剂 mùcái rǎnsèjì
1244,hardboard,纤维板,xiānwéibǎn,纤维板 xiānwéibǎn
1245,carpentry bits,木工钻头,mùgōng zuàntóu,木工钻头 mùgōng zuàntóu
1246,hammer,锤子,chuízi,锤子 chuízi
1247,socket wrench,套筒扳手,tàotǒng bānshou,套筒扳手 tàotǒng bānshou
1248,metal bit,金属钻头,jīnshǔ zuàntóu,金属钻头 jīnshǔ zuàntóu
1249,tape measure,卷尺,juǎnchǐ,卷尺 juǎnchǐ
1250,masonry bit,石工钻头,shígōng zuàntóu,石工钻头 shígōng zuàntóu
1251,nut,螺母,luómǔ,螺母 luómǔ
1252,screw,螺丝钉,luósīdīng,螺丝钉 luósīdīng
1253,spanner,扳手,bānshou,扳手 bānshou
1254,phillips screwdriver,螺丝刀,luósīdāo,螺丝刀 luósīdāo
1255,reamer,钻孔器,zuànkǒngqì,钻孔器 zuànkǒngqì
1256,adjustable spanner,可调扳手,kědiào bānshou,可调扳手 kědiào bānshou
1257,flat wood bit,平木钻头,píngmù zuàntóu,平木钻头 píngmù zuàntóu
1258,screwdriver bits,螺丝刀头,luósī dāotóu,螺丝刀头 luósī dāotóu
1259,washer,垫圈,diànquān,垫圈 diànquān
1260,needle-nose pliers,尖嘴钳,jiānzuǐqián,尖嘴钳 jiānzuǐqián
1261,screwdriver,螺丝刀,luósīdāo,螺丝刀 luósīdāo
1262,bull-nose pliers,钢丝钳,gāngsīqián,钢丝钳 gāngsīqián
1263,spirit level,水平仪,shuǐpíngyí,水平仪 shuǐpíngyí
1264,security bit,安全钻头,ānquán zuàntóu,安全钻头 ānquán zuàntóu
1265,handsaw,手锯,shǒujù,手锯 shǒujù
1266,plunger,搋子,chuāizi,搋子 chuāizi
1267,plane,刨子,bàozi,刨子 bàozi
1268,tape,绝缘胶带,juéyuán jiāodài insulating,绝缘胶带 juéyuán jiāodài insulating
1269,wire strippers,剥皮钳,bāopíqián,剥皮钳 bāopíqián
1270,wire wool,钢丝绒,gāngsīróng,钢丝绒 gāngsīróng
1271,file,锉刀,cuòdāo,锉刀 cuòdāo
1272,hacksaw,钢锯,gāngjù,钢锯 gāngjù
1273,sharpening stone,磨刀石,módāoshí,磨刀石 módāoshí
1274,fretsaw,线锯,xiànjù,线锯 xiànjù
1275,mitre block,斜锯架,xiéjùjià,斜锯架 xiéjùjià
1276,safety goggles,护目镜,hùmùjìng,护目镜 hùmùjìng
1277,hand drill,手摇钻,shǒuyáozuàn,手摇钻 shǒuyáozuàn
1278,chisel,凿子,záozi,凿子 záozi
1279,scalpel,切割刀,qiēgēdāo,切割刀 qiēgēdāo
1280,sandpaper,砂纸,shāzhǐ,砂纸 shāzhǐ
1281,wrench,扳钳,bānqián,扳钳 bānqián
1282,soldering iron,烙铁,làotie,烙铁 làotie
1283,wire cutters,铁丝剪,tiěsījiǎn,铁丝剪 tiěsījiǎn
1284,craft knife,工艺刀,gōngyìdāo,工艺刀 gōngyìdāo
1285,wallpaper paste,壁纸黏合剂,bìzhǐ niánhéjì,壁纸黏合剂 bìzhǐ niánhéjì
1286,pasting brush,上浆刷,shàngjiāngshuā,上浆刷 shàngjiāngshuā
1287,wallpaper brush,裱糊刷,biǎohúshuā,裱糊刷 biǎohúshuā
1288,wallpaper,壁纸,bìzhǐ,壁纸 bìzhǐ
1289,scraper,刮刀,guādāo,刮刀 guādāo
1290,pasting table,裱糊台,biǎohútái,裱糊台 biǎohútái
1291,plumb line,铅锤线,qiānchuíxiàn,铅锤线 qiānchuíxiàn
1292,sand (v),用砂纸打磨,yòng shāzhǐ dǎmó,用砂纸打磨 yòng shāzhǐ dǎmó
1293,decorator,裱糊匠,biǎohújiàng,裱糊匠 biǎohújiàng
1294,stepladder,折梯,zhétī,折梯 zhétī
1295,embossed paper,压花纸,yāhuāzhǐ,压花纸 yāhuāzhǐ
1296,lining paper,衬纸,chènzhǐ,衬纸 chènzhǐ
1297,primer,底漆,dǐqī,底漆 dǐqī
1298,gloss,有光泽,yǒuguāngzé,有光泽 yǒuguāngzé
1299,stencil,花样模板,huāyàng múbǎn,花样模板 huāyàng múbǎn
1300,masking tape,遮蔽胶带,zhēbì jiāodài,遮蔽胶带 zhēbì jiāodài
1301,overalls,工装裤,gōngzhuāngkù,工装裤 gōngzhuāngkù
1302,emulsion,无光漆,wúguāngqī,无光漆 wúguāngqī
1303,white spirit,稀释剂,xīshìjì,稀释剂 xīshìjì
1304,paint tray,油漆盘,yóuqīpán,油漆盘 yóuqīpán
1305,dustsheet,防尘布,fángchénbù,防尘布 fángchénbù
1306,sealant,密封剂,mìfēngjì,密封剂 mìfēngjì
1307,solvent,溶剂,róngjì,溶剂 róngjì
1308,grout,薄胶浆,báojiāojiāng,薄胶浆 báojiāojiāng
1309,paint tin,油漆桶,yóuqītǒng,油漆桶 yóuqītǒng
1310,turpentine,松节油,sōngjiéyóu,松节油 sōngjiéyóu
1311,roller,油漆滚筒,yóuqī gǔntǒng,油漆滚筒 yóuqī gǔntǒng
1312,undercoat,内涂层,nèitúcéng,内涂层 nèitúcéng
1313,top coat,外涂层,wàitúcéng,外涂层 wàitúcéng
1314,preservative,防腐剂,fángfǔjì,防腐剂 fángfǔjì
1315,paint,油漆,yóuqī,油漆 yóuqī
1316,filler,填料,tiánliào,填料 tiánliào
1317,pergola,藤架,téngjià,藤架 téngjià
1318,cottage garden,乡间花园,xiāngjiān huāyuán,乡间花园 xiāngjiān huāyuán
1319,herb garden,香草花园,xiāngcǎo huāyuán,香草花园 xiāngcǎo huāyuán
1320,roof garden,屋顶花园,wūdǐng huāyuán,屋顶花园 wūdǐng huāyuán
1321,garden features,花园装饰,huāyuán,花园装饰 huāyuán
1322,water garden,水景花园,shuǐjǐng huāyuán,水景花园 shuǐjǐng huāyuán
1323,rock garden,岩石园,yánshíyuán,岩石园 yánshíyuán
1324,hanging basket,吊篮,diàolán,吊篮 diàolán
1325,greenhouse,温室,wēnshì,温室 wēnshì
1326,garden,菜圃,càipǔ vegetable,菜圃 càipǔ vegetable
1327,lawn,草坪,cǎopíng,草坪 cǎopíng
1328,pond,池塘,chítáng,池塘 chítáng
1329,paving,石面路,shímiànlù,石面路 shímiànlù
1330,fence,篱笆,líba,篱笆 líba
1331,gate,门,mén,门 mén
1332,decking,铺面,pùmiàn,铺面 pùmiàn
1333,clay,黏土,niántǔ,黏土 niántǔ
1334,silt,淤泥,yūní,淤泥 yūní
1335,flowerbed,花坛,huātán,花坛 huātán
1336,shed,棚屋,péngwū,棚屋 péngwū
1337,chalk,石灰石,shíhuīshí,石灰石 shíhuīshí
1338,hedge,树篱,shùlí,树篱 shùlí
1339,sand,沙土,shātǔ,沙土 shātǔ
1340,herbaceous border,绿草带,lǜcǎodài,绿草带 lǜcǎodài
1341,topsoil,表层土,biǎocéngtǔ,表层土 biǎocéngtǔ
1342,compost heap,肥料堆,féiliàoduī,肥料堆 féiliàoduī
1343,weeds,杂草,zácǎo,杂草 zácǎo
1344,deciduous,落叶植物,() luòyè (zhíwù),落叶植物 () luòyè (zhíwù)
1345,biennial,二年生植物,() èrniánshēng (zhíwù),二年生植物 () èrniánshēng (zhíwù)
1346,tree,树,shù,树 shù
1347,rush,灯心草,dēngxīncǎo,灯心草 dēngxīncǎo
1348,water plant,水生植物,shuǐshēng zhíwù,水生植物 shuǐshēng zhíwù
1349,perennial,多年生植物,() duōniánshēng (zhíwù),多年生植物 () duōniánshēng (zhíwù)
1350,conifer,针叶树,zhēnyèshù,针叶树 zhēnyèshù
1351,fern,蕨类植物,juélèi zhíwù,蕨类植物 juélèi zhíwù
1352,annual,一年生植物,() yìniánshēng (zhíwù),一年生植物 () yìniánshēng (zhíwù)
1353,bulb,球茎植物,qiújīng zhíwù,球茎植物 qiújīng zhíwù
1354,evergreen,常绿植物,() chánglǜ (zhíwù),常绿植物 () chánglǜ (zhíwù)
1355,bamboo,竹子,zhúzi,竹子 zhúzi
1356,topiary,灌木修剪,guànmù xiūjiǎn,灌木修剪 guànmù xiūjiǎn
1357,creeper,匍匐植物,púfú zhíwù,匍匐植物 púfú zhíwù
1358,ornamental,观赏植物,() guānshǎng (zhíwù),观赏植物 () guānshǎng (zhíwù)
1359,climber,攀缘植物,pānyuán zhíwù,攀缘植物 pānyuán zhíwù
1360,grass,草,cǎo,草 cǎo
1361,succulent,肉质植物,ròuzhì zhíwù,肉质植物 ròuzhì zhíwù
1362,alpine,高山植物,gāoshān zhíwù,高山植物 gāoshān zhíwù
1363,flowering shrub,开花灌木,kāihuā guànmù,开花灌木 kāihuā guànmù
1364,potted plant,盆栽植物,pénzāi zhíwù,盆栽植物 pénzāi zhíwù
1365,cactus,仙人掌,xiānrénzhǎng,仙人掌 xiānrénzhǎng
1366,shade plant,阴地植物,yīndì zhíwù,阴地植物 yīndì zhíwù
1367,ground cover,地被植物,dìbèi zhíwù,地被植物 dìbèi zhíwù
1368,lawn rake,搂草耙,lǒucǎopá,搂草耙 lǒucǎopá
1369,gravel,碎石,suìshí,碎石 suìshí
1370,bone meal,骨粉,gǔfěn,骨粉 gǔfěn
1371,trimmer,剪草器,jiǎncǎoqì,剪草器 jiǎncǎoqì
1372,rake,耙子,pázi,耙子 pázi
1373,trug,浅底篮,qiǎndǐlán,浅底篮 qiǎndǐlán
1374,stand,支架,zhījià,支架 zhījià
1375,motor,马达,mǎdá,马达 mǎdá
1376,lawnmower,剪草机,jiǎncǎojī,剪草机 jiǎncǎojī
1377,hoe,锄头,chútou,锄头 chútou
1378,seeds,种子,zhǒngzi,种子 zhǒngzi
1379,shield,防护盘,fánghùpán,防护盘 fánghùpán
1380,wheelbarrow,独轮手推车,dúlún shǒutuīchē,独轮手推车 dúlún shǒutuīchē
1381,spade,铲,chǎn,铲 chǎn
1382,long-handled shears,长柄修篱剪,chángbǐng xiūlíjiǎn,长柄修篱剪 chángbǐng xiūlíjiǎn
1383,compost,堆肥,duīféi,堆肥 duīféi
1384,grass bag,草袋,cǎodài,草袋 cǎodài
1385,twine,合股线,hégǔxiàn,合股线 hégǔxiàn
1386,pesticide,杀虫剂,shāchóngjì,杀虫剂 shāchóngjì
1387,shears,修篱剪,xiūlíjiǎn,修篱剪 xiūlíjiǎn
1388,hand fork,手叉,shǒuchā,手叉 shǒuchā
1389,secateurs,修枝剪,xiūzhījiǎn,修枝剪 xiūzhījiǎn
1390,hosepipe,橡胶软管,xiàngjiāo ruǎnguǎn,橡胶软管 xiàngjiāo ruǎnguǎn
1391,nozzle,喷嘴,pēnzuǐ,喷嘴 pēnzuǐ
1392,watering can,喷壶,pēnhú,喷壶 pēnhú
1393,gardening gloves,园艺手套,yuányì shǒutào,园艺手套 yuányì shǒutào
1394,plant pot,花盆,huāpén,花盆 huāpén
1395,twist ties,捆绑细丝,kǔnbǎng xìsī,捆绑细丝 kǔnbǎng xìsī
1396,canes,支撑杆,zhīchēnggān,支撑杆 zhīchēnggān
1397,ring ties,固枝环,gùzhīhuán,固枝环 gùzhīhuán
1398,trowel,移植铲,yízhíchǎn,移植铲 yízhíchǎn
1399,rose,喷头,pēntóu,喷头 pēntóu
1400,labels,签条,qiāntiáo,签条 qiāntiáo
1401,sprinkler,喷灌器,pēnguànqì,喷灌器 pēnguànqì
1402,hand saw,手锯,shǒujù,手锯 shǒujù
1403,rubber boots,橡胶靴,xiàngjiāoxuē,橡胶靴 xiàngjiāoxuē
1404,seed tray,育苗盘,yùmiáopán,育苗盘 yùmiáopán
1405,sow (v),播种,bōzhǒng,播种 bōzhǒng
1406,turf (v),铺草皮,pūcǎopí,铺草皮 pūcǎopí
1407,stake,树木支桩,shùmù zhīzhuāng,树木支桩 shùmù zhīzhuāng
1408,dig (v),挖,wā,挖 wā
1409,water (v),浇水,jiāoshuǐ,浇水 jiāoshuǐ
1410,top dress (v),土表施肥,tǔbiǎo shīféi,土表施肥 tǔbiǎo shīféi
1411,rake (v),耙,pá,耙 pá
1412,spike (v),钉,dìng,钉 dìng
1413,sieve (v),筛,shāi,筛 shāi
1414,aerate (v),松土,sōngtǔ,松土 sōngtǔ
1415,subsoil,底土,dǐtǔ,底土 dǐtǔ
1416,weedkiller,除草剂,chúcǎojì,除草剂 chúcǎojì
1417,stake (v),用杆支撑,yònggǎn zhīchēng,用杆支撑 yònggǎn zhīchēng
1418,seedling,秧苗,yāngmiáo,秧苗 yāngmiáo
1419,fertilizer,肥料,féiliào,肥料 féiliào
1420,landscape (v),园艺设计,yuányì shèjì,园艺设计 yuányì shèjì
1421,pot up (v),把种于盆内,… bǎ…zhòng yú pénnèi,把种于盆内 … bǎ…zhòng yú pénnèi
1422,weed (v),清除杂草,qīngchú zácǎo,清除杂草 qīngchú zácǎo
1423,mulch (v),加护盖物,jiā hùgàiwù,加护盖物 jiā hùgàiwù
1424,harvest (v),收获,shōuhuò,收获 shōuhuò
1425,train (v),整枝,zhěngzhī,整枝 zhěngzhī
1426,deadhead (v),摘除枯花,zhāichú kūhuā,摘除枯花 zhāichú kūhuā
1427,graft (v),嫁接,jiàjiē,嫁接 jiàjiē
1428,fertilize (v),施肥,shīféi,施肥 shīféi
1429,pick (v),采摘,cǎizhāi,采摘 cǎizhāi
1430,cutting,插条,chātiáo,插条 chātiáo
1431,transplant (v),移植,yízhí,移植 yízhí
1432,spray (v),喷水,pēnshuǐ,喷水 pēnshuǐ
1433,prune (v),修剪,xiūjiǎn,修剪 xiūjiǎn
1434,cane,支撑杆,zhīchēnggān,支撑杆 zhīchēnggān
1435,cultivate (v),栽培,zāipéi,栽培 zāipéi
1436,tend (v),护理,hùlǐ,护理 hùlǐ
1437,propagate (v),插技,chājì,插技 chājì
1438,organic,有机栽培的,() yǒujī(zāipéi)de,有机栽培的 () yǒujī(zāipéi)de
1439,drainage,排水,páishuǐ,排水 páishuǐ
1440,services,服务,fúwù,服务 fúwù
1441,stretcher,担架,dānjià,担架 dānjià
1442,arrest,逮捕,dàibǔ,逮捕 dàibǔ
1443,police cell,单人牢房,dānrén láofáng,单人牢房 dānrén láofáng
1444,charge,控告,kònggào,控告 kònggào
1445,suspect,嫌疑犯,xiányífàn,嫌疑犯 xiányífàn
1446,assault,攻击,gōngjī,攻击 gōngjī
1447,ﬁngerprint,指纹,zhǐwén,指纹 zhǐwén
1448,siren,警笛,jǐngdí,警笛 jǐngdí
1449,badge,警徽,jǐnghuī,警徽 jǐnghuī
1450,police car,警车,jǐngchē,警车 jǐngchē
1451,police station,警察局,jǐngchájú,警察局 jǐngchájú
1452,complaint,起诉,qǐsù,起诉 qǐsù
1453,investigation,调查,diàochá,调查 diàochá
1454,burglary,入室盗窃,rùshì dàoqiè,入室盗窃 rùshì dàoqiè
1455,lights,警灯,jǐngdēng,警灯 jǐngdēng
1456,uniform,制服,zhìfú,制服 zhìfú
1457,handcuffs,手铐,shǒukào,手铐 shǒukào
1458,gun,手枪,shǒuqiāng,手枪 shǒuqiāng
1459,inspector,探员,tànyuán,探员 tànyuán
1460,crime,罪行,zuìxíng,罪行 zuìxíng
1461,detective,侦探,zhēntàn,侦探 zhēntàn
1462,truncheon,警棍,jǐnggùn,警棍 jǐnggùn
1463,ladder,消防梯,xiāofángtī,消防梯 xiāofángtī
1464,Call the police!,报警,！ bàojǐng!,报警 ！ bàojǐng!
1465,There’s a ﬁre at…,在有火情,...。 zài...yǒu huǒqíng.,在有火情 ...。 zài...yǒu huǒqíng.
1466,cab,驾驶室,jiàshǐshì,驾驶室 jiàshǐshì
1467,hose,水龙,shuǐlóng,水龙 shuǐlóng
1468,fire fighters,消防队员,xiāofángduìyuán,消防队员 xiāofángduìyuán
1469,cradle,吊篮,diàolán,吊篮 diàolán
1470,fire engine,消防车,xiāofángchē,消防车 xiāofángchē
1471,fire station,消防站,xiāofángzhàn,消防站 xiāofángzhàn
1472,fire alarm,火灾警报器,huǒzāi jǐngbàoqì,火灾警报器 huǒzāi jǐngbàoqì
1473,axe,消防斧,xiāofángfǔ,消防斧 xiāofángfǔ
1474,hydrant,消防栓,xiāofángshuān,消防栓 xiāofángshuān
1475,There’s been an accident.,发生了事故,。 fāshēngle shìgù.,发生了事故 。 fāshēngle shìgù.
1476,smoke,烟,yān,烟 yān
1477,helmet,头盔,tóukuī,头盔 tóukuī
1478,smoke alarm,烟雾报警器,yānwù bàojǐngqì,烟雾报警器 yānwù bàojǐngqì
1479,ambulance.,我需要警察消防队救护车,//。 wǒ xūyào jǐngchá/xiāofángduì/ jiùhùchē. I need the police/ﬁre brigade/,我需要警察消防队救护车 //。 wǒ xūyào jǐngchá/xiāofángduì/ jiùhùchē. I need the police/ﬁre brigade/
1480,fire extinguisher,灭火器,mièhuǒqì,灭火器 mièhuǒqì
1481,boom,悬臂,xuánbì,悬臂 xuánbì
1482,water jet,水柱,shuǐzhù,水柱 shuǐzhù
1483,fire escape,消防通道,xiāofángtōngdào,消防通道 xiāofángtōngdào
1484,customer,客户,kèhù,客户 kèhù
1485,leaflets,宣传页,xuānchuányè,宣传页 xuānchuányè
1486,current account,活期存款账户,huóqīcúnkuǎn zhànghù,活期存款账户 huóqīcúnkuǎn zhànghù
1487,savings account,储蓄账户,chǔxù zhànghù,储蓄账户 chǔxù zhànghù
1488,pin number,密码,mìmǎ,密码 mìmǎ
1489,payment,付款,fùkuǎn,付款 fùkuǎn
1490,direct debit,直接借记,zhíjiē jièjì,直接借记 zhíjiē jièjì
1491,withdrawal slip,取款单,qǔkuǎndān,取款单 qǔkuǎndān
1492,savings,储蓄,chǔxù,储蓄 chǔxù
1493,tax,税,shuì,税 shuì
1494,loan,贷款,dàikuǎn,贷款 dàikuǎn
1495,debit card,银行卡,yínhángkǎ,银行卡 yínhángkǎ
1496,amount,金额,jīn’é,金额 jīn’é
1497,cashier,出纳员,chūnàyuán,出纳员 chūnàyuán
1498,paying-in slips,存款单,cúnkuǎndān,存款单 cúnkuǎndān
1499,chequebook,支票簿,zhīpiàobù,支票簿 zhīpiàobù
1500,signature,签名,qiānmíng,签名 qiānmíng
1501,mortgage,抵押贷款,dǐyā dàikuǎn,抵押贷款 dǐyā dàikuǎn
1502,overdraft,透支,tòuzhī,透支 tòuzhī
1503,interest rate,利率,lìlǜ,利率 lìlǜ
1504,cheque,支票,zhīpiào,支票 zhīpiào
1505,counter,柜台,guìtái,柜台 guìtái
1506,pay in (v),存入,cúnrù,存入 cúnrù
1507,bank charge,银行手续费,yínháng shǒuxùfèi,银行手续费 yínháng shǒuxùfèi
1508,bank transfer,银行转账,yínháng zhuǎnzhàng,银行转账 yínháng zhuǎnzhàng
1509,bank manager,银行经理,yínháng jīnglǐ,银行经理 yínháng jīnglǐ
1510,credit card,信用卡,xìnyòngkǎ,信用卡 xìnyòngkǎ
1511,account number,账号,zhànghào,账号 zhànghào
1512,coin,硬币,yìngbì,硬币 yìngbì
1513,note,纸币,zhǐbì,纸币 zhǐbì
1514,Can I change this please?,我能兑换吗,？ wǒ néng duìhuàn ma?,我能兑换吗 ？ wǒ néng duìhuàn ma?
1515,What’s today’s exchange rate?,今天的汇率是多少,？ jīntiān de huìlǜ shì duōshǎo?,今天的汇率是多少 ？ jīntiān de huìlǜ shì duōshǎo?
1516,cash (v),兑现,duìxiàn,兑现 duìxiàn
1517,denomination,货币面额,huòbì miàné,货币面额 huòbì miàné
1518,commission,佣金,yòngjīn,佣金 yòngjīn
1519,investment,投资,tóuzī,投资 tóuzī
1520,stocks,证券,zhèngquàn,证券 zhèngquàn
1521,traveller’s cheque,旅行支票,lǚxíng zhīpiào,旅行支票 lǚxíng zhīpiào
1522,stock exchange,证券交易所,zhèngquàn jiāoyìsuǒ,证券交易所 zhèngquàn jiāoyìsuǒ
1523,bureau de change,外币兑换处,wàibì duìhuànchù,外币兑换处 wàibì duìhuànchù
1524,share price,股票价格,gǔpiào jiàgé,股票价格 gǔpiào jiàgé
1525,stockbroker,股票经纪人,gǔpiào jīngjìrén,股票经纪人 gǔpiào jīngjìrén
1526,key pad,按键区,ànjiànqū,按键区 ànjiànqū
1527,card slot,插卡口,chākǎkǒu,插卡口 chākǎkǒu
1528,shares,股份,gǔfèn,股份 gǔfèn
1529,dividends,股息,gǔxī,股息 gǔxī
1530,accountant,会计师,kuàijìshī,会计师 kuàijìshī
1531,portfolio,有价证券组合,yǒujià zhèngquàn zǔhé,有价证券组合 yǒujià zhèngquàn zǔhé
1532,equity,股权,gǔquán,股权 gǔquán
1533,financial advisor,投资顾问,tóuzī gùwèn,投资顾问 tóuzī gùwèn
1534,exchange rate,汇率,huìlǜ,汇率 huìlǜ
1535,fragile,易损坏,yìsǔnhuài,易损坏 yìsǔnhuài
1536,mailbag,邮袋,yóudài,邮袋 yóudài
1537,telegram,电报,diànbào,电报 diànbào
1538,postmark,邮戳,yóuchuō,邮戳 yóuchuō
1539,address,地址,dìzhǐ,地址 dìzhǐ
1540,postal worker,邮局职员,yóujú zhíyuán,邮局职员 yóujú zhíyuán
1541,return address,寄信人地址,jìxìnrén dìzhǐ,寄信人地址 jìxìnrén dìzhǐ
1542,collection,从邮筒中取信,() (cóng yóutǒng zhōng) qǔxìn,从邮筒中取信 () (cóng yóutǒng zhōng) qǔxìn
1543,do not bend (v),勿折,wùzhé,勿折 wùzhé
1544,this way up,此面向上,cǐmiàn xiàngshàng,此面向上 cǐmiàn xiàngshàng
1545,fax,传真,chuánzhēn,传真 chuánzhēn
1546,postman,邮递员,yóudìyuán,邮递员 yóudìyuán
1547,stamp,邮票,yóupiào,邮票 yóupiào
1548,letter,信,xìn,信 xìn
1549,by airmail,航空邮件,hángkōng yóujiàn,航空邮件 hángkōng yóujiàn
1550,registered post,挂号邮件,guàhào yóujiàn,挂号邮件 guàhào yóujiàn
1551,postal order,汇票,huìpiào,汇票 huìpiào
1552,postage,邮资,yóuzī,邮资 yóuzī
1553,postal code,邮政编码,yóuzhèngbiānmǎ,邮政编码 yóuzhèngbiānmǎ
1554,mobile phone,移动电话,yídòng diànhuà,移动电话 yídòng diànhuà
1555,handset,话机,huàjī,话机 huàjī
1556,cordless phone,无绳电话,wúshéng diànhuà,无绳电话 wúshéng diànhuà
1557,keypad,按键区,ànjiànqū,按键区 ànjiànqū
1558,coin phone,投币电话,tóubìdiànhuà,投币电话 tóubìdiànhuà
1559,telephone box,电话亭,diànhuàtíng,电话亭 diànhuàtíng
1560,courier,速递,sùdì,速递 sùdì
1561,postbox,邮筒,yóutǒng,邮筒 yóutǒng
1562,operator,接线员,jiēxiànyuán,接线员 jiēxiànyuán
1563,engaged/busy,占线,zhànxiàn,占线 zhànxiàn
1564,disconnected,断线,duànxiàn,断线 duànxiàn
1565,directory enquiries,电话号码查询台,diànhuàháo mǎcháxúntái,电话号码查询台 diànhuàháo mǎcháxúntái
1566,reverse charge call,对方付费电话,duìfāng fùfèi diànhuà,对方付费电话 duìfāng fùfèi diànhuà
1567,dial (v),拨号,bōhào,拨号 bōhào
1568,base station,机座,jīzuò,机座 jīzuò
1569,answering machine,答录机,dálùjī,答录机 dálùjī
1570,card phone,磁卡电话,cíkǎdiànhuà,磁卡电话 cíkǎdiànhuà
1571,answer (v),接听电话,jiētīng diànhuà,接听电话 jiētīng diànhuà
1572,text message,文字讯息,wénzì xùnxī,文字讯息 wénzì xùnxī
1573,voice message,语音讯息,yǔyīn xùnxī,语音讯息 yǔyīn xùnxī
1574,receiver,听筒,tīngtǒng,听筒 tīngtǒng
1575,video phone,可视电话,kěshìdiànhuà,可视电话 kěshìdiànhuà
1576,Can you give me the number for...?,你能告诉我的号码吗,...？ nǐ néng gàosù wǒ…de hàomǎ ma?,你能告诉我的号码吗 ...？ nǐ néng gàosù wǒ…de hàomǎ ma?
1577,What is the dialling code for...?,的拨叫号码是多少,...？ …de bōjiào hàomǎ shì duōshǎo?,的拨叫号码是多少 ...？ …de bōjiào hàomǎ shì duōshǎo?
1578,parcel,包裹,bāoguǒ,包裹 bāoguǒ
1579,coin return,退币口,tuìbìkǒu,退币口 tuìbìkǒu
1580,messages,留言,liúyán,留言 liúyán
1581,receptionist,接待员,jiēdàiyuán,接待员 jiēdàiyuán
1582,private bathroom,专用浴室,zhuān yòngyùshì,专用浴室 zhuān yòngyùshì
1583,double room,双人间,shuāngrénjiān,双人间 shuāngrénjiān
1584,pigeonhole,分类架,fēnlèijià,分类架 fēnlèijià
1585,luggage,行李,xíngli,行李 xíngli
1586,single room,单人间,dānrénjiān,单人间 dānrénjiān
1587,twin room,标准间,biāozhǔnjiān,标准间 biāozhǔnjiān
1588,register,登记簿,dēngjìbù,登记簿 dēngjìbù
1589,room number,房间号码,fángjiān hàomǎ,房间号码 fángjiān hàomǎ
1590,room key,房间钥匙,fángjiān yàoshi,房间钥匙 fángjiān yàoshi
1591,breakfast tray,早餐盘,zǎocānpán,早餐盘 zǎocānpán
1592,swimming pool,游泳池,yóuyǒngchí,游泳池 yóuyǒngchí
1593,mini bar,小冰箱,xiǎobīngxiāng,小冰箱 xiǎobīngxiāng
1594,I’d like a room for three nights.,我要一个房间住三天,"，。 wǒ yào yīgèfángjiān, zhù sāntiān.","我要一个房间住三天 ，。 wǒ yào yīgèfángjiān, zhù sāntiān."
1595,What is the charge per night?,住一晚多少钱,？ zhù yīwǎn duōshǎoqián?,住一晚多少钱 ？ zhù yīwǎn duōshǎoqián?
1596,When do I have to vacate the room?,我什么时候得腾房,？ wǒ shénme shíhòu děi téng fáng?,我什么时候得腾房 ？ wǒ shénme shíhòu děi téng fáng?
1597,bed and breakfast,提供住宿和早餐,tígōng zhùsù hé zǎocān,提供住宿和早餐 tígōng zhùsù hé zǎocān
1598,full board,供应三餐,gōngyìng sāncān,供应三餐 gōngyìng sāncān
1599,half board,半食宿,bànshísù,半食宿 bànshísù
1600,restaurant,餐厅,cāntīng,餐厅 cāntīng
1601,gym,健身房,jiànshēnfáng,健身房 jiànshēnfáng
1602,laundry service,洗衣服务,xǐyī fúwù,洗衣服务 xǐyī fúwù
1603,Do you have any vacancies?,有空房间吗,？ yǒu kōng fángjiān ma?,有空房间吗 ？ yǒu kōng fángjiān ma?
1604,I have a reservation.,我预定了房间,。 wǒ yùdìngle fángjiān.,我预定了房间 。 wǒ yùdìngle fángjiān.
1605,I’d like a single room.,我想要一个单人间,"。 wǒ xiǎngyào yīgè dānrénjiān,","我想要一个单人间 。 wǒ xiǎngyào yīgè dānrénjiān,"
1606,maid service,客房清洁服务,kèfáng qīngjié fúwù,客房清洁服务 kèfáng qīngjié fúwù
1607,shopping,购物,gòuwù,购物 gòuwù
1608,atrium,大厅,dàtīng,大厅 dàtīng
1609,How much is this?,这个多少钱,？ zhège duōshǎo qián?,这个多少钱 ？ zhège duōshǎo qián?
1610,May I exchange this?,我可以换一件吗,？ wǒ kěyǐ huàn yījiàn ma?,我可以换一件吗 ？ wǒ kěyǐ huàn yījiàn ma?
1611,store directory,购物指南,gòuwù zhǐnán,购物指南 gòuwù zhǐnán
1612,sales assistant,售货员,shòuhuòyuán,售货员 shòuhuòyuán
1613,customer services,客户服务,kèhù fúwù,客户服务 kèhù fúwù
